ident;lat;long;y_proj;x_proj;new_seg
1.11.22-13;-16.37703603;-71.50455197;-1938903.337;2842210.484;False
1.11.22-13;-16.37767534;-71.50407094;-1938984.511;2842256.694;False
1.11.22-14; ; ;-1.516416327;20763369.87; 
1.11.22-14;-16.3769757;-71.50350558;-1938909.438;2842329.953;False
1.11.22-14;-16.37638214;-71.50347788;-1938840.051;2842340.846;False
1.11.22-14;-16.37629922;-71.50352995;-1938829.653;2842336.023;False
1.11.22-14;-16.37663904;-71.50402101;-1938863.387;2842275.889;False
1.11.22-14;-16.37717368;-71.50358884;-1938931.649;2842317.925;False
1.11.22-15; ; ;-1.516416327;20763369.87; 
1.11.22-15;-16.37655835;-71.50406401;-1938853.365;2842272.066;False
1.11.22-15;-16.37621728;-71.50359868;-1938819.158;2842329.298;False
1.11.22-15;-16.37609833;-71.50361574;-1938804.969;2842328.915;False
1.11.22-15;-16.3754736;-71.50417265;-1938724.551;2842273.906;False
1.11.22-15;-16.37581081;-71.50465974;-1938758.03;2842214.256;False
1.11.22-16; ; ;-1.516416327;20763369.87; 
1.11.22-16;-16.37538765;-71.50427836;-1938713.119;2842263.039;False
1.11.22-16;-16.37467461;-71.50491478;-1938621.325;2842200.163;False
1.11.22-16;-16.37502535;-71.50539889;-1938656.431;2842140.675;False
1.11.22-16;-16.37572555;-71.50474595;-1938746.925;2842205.592;False
1.11.22-17; ; ;-1.516416327;20763369.87; 
1.11.22-17;-16.37532319;-71.50422129;-1938706.266;2842270.353;False
1.11.22-17;-16.37500332;-71.50374342;-1938674.707;2842328.73;False
1.11.22-17;-16.37428911;-71.50439587;-1938582.572;2842264.052;False
1.11.22-17;-16.37461242;-71.50484289;-1938614.924;2842209.129;False
1.11.22-18; ; ;-1.516416327;20763369.87; 
1.11.22-18;-16.3760447;-71.50354656;-1938799.54;2842337.462;False
1.11.22-18;-16.37612557;-71.50354916;-1938809.008;2842336.111;False
1.11.22-18;-16.3761899;-71.50352711;-1938816.844;2842337.772;False
1.11.22-18;-16.37621566;-71.50344029;-1938820.965;2842347.283;False
1.11.22-18;-16.37589775;-71.50338933;-1938784.257;2842357.214;False
1.11.22-18;-16.37542755;-71.50329387;-1938730.216;2842374.181;False
1.11.22-18;-16.37510442;-71.50364155;-1938687.87;2842338.965;False
1.11.22-18;-16.37543023;-71.50409751;-1938720.401;2842282.995;False
1.11.22-19; ; ;-1.516416327;20763369.87; 
